C0,C1,C2,C3,C4,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
-934,-2733,2380,19093,29840,9,65452,0.0353904797121599,72.4066314891641,NaN,NaN,NaN,0
-452,-2731,769,19103,32184,9,65562,0.0266848438794293,70.5634071257006,NaN,NaN,NaN,0
-484,-2752,738,19148,32243,9,65543,0.0179376117333258,70.1253516096349,NaN,NaN,NaN,0
-924,-2713,2298,19073,29977,9,65445,0.0357100614415419,71.2936019415746,NaN,NaN,NaN,0
-894,-2721,2364,19091,29842,9,65522,0.0357535109949827,72.4076724936316,NaN,NaN,NaN,0
-905,-2698,2392,19087,29787,9,65539,0.0359073290451809,72.4080405072623,NaN,NaN,NaN,0
-468,-2707,859,19083,31996,9,65530,0.0359537893833352,72.406767264418,NaN,NaN,NaN,0
-936,-2730,2532,19098,29592,9,65520,0.0362091806626947,72.4082692237031,NaN,NaN,NaN,0
-977,-2753,2537,19112,29668,9,65506,0.0262962665956728,70.4984286889595,NaN,NaN,NaN,0
-428,-2697,735,19082,32161,9,65545,0.0363851774869846,72.407279626473,NaN,NaN,NaN,0
-873,-2720,2348,19098,29841,9,65547,0.0364112157067406,72.4086002439373,NaN,NaN,NaN,0
-463,-2720,844,19097,32000,9,65516,0.0364151020040729,71.9467521673137,NaN,NaN,NaN,0
-924,-2714,2346,19078,29890,9,65462,0.0364875623850843,72.4078876394043,NaN,NaN,NaN,0
-896,-2683,2348,19060,29881,9,65539,0.0367126422090574,72.4088758135737,NaN,NaN,NaN,0
-928,-2716,2360,19084,29858,9,65458,0.0368349301849797,72.4082330192587,NaN,NaN,NaN,0
-880,-2716,2250,19090,29998,9,65486,0.0370027506154976,72.408587527817,NaN,NaN,NaN,0
-909,-2681,2445,19055,29744,9,65564,0.0368972359229022,70.994287710611,NaN,NaN,NaN,0
-910,-2706,2325,19066,29928,9,65478,0.0370773289006796,71.2381712883761,NaN,NaN,NaN,0
-426,-2720,740,19097,32141,9,65523,0.037154816654902,71.2718281440486,NaN,NaN,NaN,0
-946,-2796,2360,19208,29959,9,65611,0.0215940972912519,70.2179156031829,NaN,NaN,NaN,0
-943,-2701,2475,19084,29755,9,65585,0.02621392837829,70.4425156713734,NaN,NaN,NaN,0
-452,-2777,798,19122,32067,9,65449,0.0373896357740889,71.2053372583544,NaN,NaN,NaN,0
-471,-2709,849,19085,31999,9,65507,0.0374188275408725,72.4081117126363,NaN,NaN,NaN,0
-987,-2841,2297,19273,30180,9,65664,0.037530378353569,71.5429127384185,NaN,NaN,NaN,0
