variant,physical_lut,primitive_cells,direct_modules,endpoint_modules,classification
LUT239,SLICE_X30Y58/BLUT,interp128_all2x_LUT1_75;interp128_all2x_LUT2_33,,2→4倍桥接量化;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X30Y58/CLUT,interp128_all2x_LUT5_13,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X30Y59/ALUT,interp128_all2x_LUT3_28,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X31Y53/ALUT,job_history_head[2]_i_1;stage2_head[2]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X31Y53/BLUT,stage2_head[3]_i_2;stage2_history_full_i_1,2→4倍桥接量化;FIR2/3级,FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X31Y53/CLUT,interp128_all2x_LUT3_23;interp128_all2x_LUT5_2,,FIR2/3级,FIR2/3级
LUT239,SLICE_X31Y53/DLUT,interp128_all2x_LUT6_6,,FIR2/3级,FIR2/3级
LUT239,SLICE_X31Y54/ALUT,interp128_all2x_LUT2_36;interp128_all2x_LUT4_23,,FIR1级,FIR1级
LUT239,SLICE_X31Y54/DLUT,interp128_all2x_LUT6_12,,FIR2/3级,FIR2/3级
LUT239,SLICE_X31Y55/ALUT,gen_primitive.u_stage23_history_ramb18e1_i_33;gen_primitive.u_stage23_history_ramb18e1_i_34,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X31Y55/BLUT,interp128_all2x_LUT6_10,,FIR2/3级,FIR2/3级
LUT239,SLICE_X31Y55/CLUT,interp128_all2x_LUT6_11,,FIR2/3级,FIR2/3级
LUT239,SLICE_X31Y55/DLUT,interp128_all2x_LUT6_15,,FIR2/3级,FIR2/3级
LUT239,SLICE_X31Y56/ALUT,job_mac_index[2]_i_1;job_mac_index[3]_i_3,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT239,SLICE_X31Y56/BLUT,interp128_all2x_LUT5_17,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X31Y56/CLUT,interp128_all2x_LUT5_3,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
